Story ID,Epic,User Role,User Story (EN),User Story (FR),Acceptance Criteria (EN),Acceptance Criteria (FR),Priority,Sprint,Wireframe Ref,Status
US-001,Vendor Onboarding,Vendor,"As a new vendor, I want to create my restaurant profile so that customers can discover my business","En tant que nouveau vendeur, je souhaite créer mon profil de restaurant afin que les clients puissent découvrir mon établissement","1. Vendor can enter restaurant name, description, cuisine type
2. Vendor can upload logo (PNG/JPG, max 5MB)
3. Vendor can set operating hours for each day
4. Vendor can define delivery zones on map
5. Profile is saved and visible to customers within 24 hours
6. Email confirmation sent upon profile completion","1. Le vendeur peut saisir le nom, la description, le type de cuisine
2. Le vendeur peut télécharger un logo (PNG/JPG, max 5Mo)
3. Le vendeur peut définir les horaires d'ouverture
4. Le vendeur peut définir les zones de livraison
5. Le profil est visible sous 24h
6. Email de confirmation envoyé",P0,Sprint 1,09-onboarding-welcome.png,Draft
US-002,Vendor Onboarding,Vendor,"As a vendor, I want to connect my bank account for payouts so I can receive my earnings","En tant que vendeur, je souhaite connecter mon compte bancaire pour recevoir mes paiements","1. Vendor can enter bank account details (routing, account number)
2. System validates account via micro-deposits
3. Vendor confirms micro-deposit amounts
4. Payout schedule options displayed (daily, weekly, monthly)
5. Confirmation email sent with payout schedule","1. Le vendeur peut saisir les coordonnées bancaires
2. Validation par micro-virements
3. Confirmation des montants
4. Options de fréquence de paiement
5. Email de confirmation",P0,Sprint 1,06-settings.png,Draft
US-003,Order Management,Vendor,"As a vendor, I want to view incoming orders in real-time so I can prepare food promptly","En tant que vendeur, je souhaite voir les commandes entrantes en temps réel pour préparer rapidement","1. New orders appear within 5 seconds of placement
2. Audio/visual notification for new orders
3. Order shows customer name, items, special instructions, total
4. Order timestamp visible
5. Orders grouped by status (New, Preparing, Ready, Delivered)
6. Pull-to-refresh available","1. Nouvelles commandes affichées en 5 secondes
2. Notification audio/visuelle
3. Détails de la commande visibles
4. Horodatage visible
5. Commandes groupées par statut
6. Rafraîchissement manuel disponible",P0,Sprint 1,02-orders-queue.png,Draft
US-004,Order Management,Vendor,"As a vendor, I want to accept or reject incoming orders so I can manage my kitchen capacity","En tant que vendeur, je souhaite accepter ou refuser les commandes pour gérer ma capacité","1. Accept/Reject buttons visible on new orders
2. Accept triggers 'Preparing' status and starts prep timer
3. Reject requires reason selection (too busy, item unavailable, closing soon)
4. Customer notified of acceptance within 10 seconds
5. Customer notified of rejection with reason
6. Rejected order refunded automatically","1. Boutons Accepter/Refuser visibles
2. Acceptation lance le timer de préparation
3. Refus nécessite une raison
4. Client notifié en 10 secondes
5. Client informé du refus
6. Remboursement automatique",P0,Sprint 1,02-orders-queue.png,Draft
US-005,Order Management,Vendor,"As a vendor, I want to mark orders as 'Ready' so drivers know when to pick up","En tant que vendeur, je souhaite marquer les commandes 'Prêtes' pour que les livreurs sachent quand récupérer","1. 'Mark Ready' button visible on Preparing orders
2. Status changes to 'Ready for Pickup' immediately
3. Driver receives push notification
4. Timer shows time since marked ready
5. Customer ETA updates based on ready status","1. Bouton 'Marquer Prêt' visible
2. Statut change immédiatement
3. Livreur reçoit notification
4. Timer depuis marquage prêt
5. ETA client mis à jour",P1,Sprint 1,03-order-detail.png,Draft
US-006,Order Management,Vendor,"As a vendor, I want to view detailed order information so I can prepare orders accurately","En tant que vendeur, je souhaite voir les détails de commande pour préparer avec précision","1. Tap order opens detail view
2. Shows all items with quantities, modifiers, prices
3. Shows special instructions prominently (highlighted)
4. Shows customer contact info (phone, address)
5. Shows order timeline (placed, accepted, preparing, ready, delivered)
6. Contact customer button available","1. Tap ouvre le détail
2. Tous les articles avec quantités, modificateurs, prix
3. Instructions spéciales en évidence
4. Coordonnées client
5. Timeline de commande
6. Bouton contacter client",P1,Sprint 1,03-order-detail.png,Draft
US-007,Menu Management,Vendor,"As a vendor, I want to add menu items so customers can order from my restaurant","En tant que vendeur, je souhaite ajouter des articles au menu pour que les clients puissent commander","1. Add item form with name, description, price, category, image
2. Category selection from predefined + custom categories
3. Prep time estimate field
4. Modifier groups (size, spice level, add-ons)
5. Image upload with preview
6. Item visible on menu after save","1. Formulaire avec nom, description, prix, catégorie, image
2. Sélection de catégorie
3. Temps de préparation estimé
4. Groupes de modificateurs
5. Téléchargement d'image avec aperçu
6. Article visible après sauvegarde",P0,Sprint 2,07-add-menu-item.png,Draft
US-008,Menu Management,Vendor,"As a vendor, I want to mark items as unavailable so customers don't order out-of-stock items","En tant que vendeur, je souhaite marquer les articles indisponibles pour éviter les commandes en rupture","1. Toggle switch for each menu item (Available/Unavailable)
2. Unavailable items show 'Sold Out' badge to customers
3. Unavailable items grayed out but visible
4. Bulk mark unavailable option
5. Notification to vendor when popular item marked unavailable
6. Option to set automatic re-availability time","1. Interrupteur Disponible/Indisponible
2. Badge 'Épuisé' affiché aux clients
3. Articles grisés mais visibles
4. Option marquage en masse
5. Notification pour articles populaires
6. Option de re-disponibilité automatique",P0,Sprint 2,04-menu-management.png,Draft
US-009,Menu Management,Vendor,"As a vendor, I want to edit menu item prices so I can adjust for costs or promotions","En tant que vendeur, je souhaite modifier les prix pour ajuster aux coûts ou promotions","1. Edit button on each menu item
2. Price field editable
3. Price history logged
4. Changes reflected immediately on customer app
5. Option to schedule price changes
6. Bulk price update option (percentage or fixed amount)","1. Bouton éditer sur chaque article
2. Prix modifiable
3. Historique des prix
4. Changements immédiats
5. Planification des changements
6. Mise à jour en masse",P1,Sprint 2,07-add-menu-item.png,Draft
US-010,Menu Management,Vendor,"As a vendor, I want to organize my menu into categories so customers can browse easily","En tant que vendeur, je souhaite organiser mon menu en catégories pour faciliter la navigation","1. Default categories provided (Appetizers, Mains, Desserts, Drinks)
2. Custom category creation
3. Drag-and-drop reordering
4. Category visibility toggle
5. Items can be moved between categories
6. Category images optional","1. Catégories par défaut fournies
2. Création de catégories personnalisées
3. Réorganisation par glisser-déposer
4. Visibilité des catégories
5. Déplacement d'articles entre catégories
6. Images de catégorie optionnelles",P1,Sprint 2,04-menu-management.png,Draft
