Story ID,Epic,User Role,User Story,Acceptance Criteria,Edge Cases,Priority,Sprint,Dependencies,Wireframe Ref,Status
US-001,Vendor Onboarding,Vendor,"As a new vendor, I want to create my restaurant profile so that customers can discover my business","1. Vendor can enter restaurant name, description, cuisine type
2. Vendor can upload logo (PNG/JPG, max 5MB)
3. Vendor can set operating hours for each day
4. Vendor can define delivery zones on map
5. Profile is saved and visible to customers within 24 hours
6. Email confirmation sent upon profile completion","- Logo upload fails (show retry with error message)
- Internet disconnects during save (auto-save draft)
- Vendor leaves mid-setup (save progress, allow resume)
- Invalid image format (show supported formats)
- Special characters in restaurant name",P0,Sprint 1,None,09-onboarding-welcome.png,Draft
US-002,Vendor Onboarding,Vendor,"As a vendor, I want to connect my bank account for payouts so I can receive my earnings","1. Vendor can enter bank account details (routing, account number)
2. System validates account via micro-deposits
3. Vendor confirms micro-deposit amounts
4. Payout schedule options displayed (daily, weekly, monthly)
5. Confirmation email sent with payout schedule","- Invalid routing number (show error, suggest format)
- Micro-deposits not received within 3 days (resend option)
- Account already linked to another vendor (block with support contact)
- International bank accounts (show unsupported message)",P0,Sprint 1,US-001,06-settings.png,Draft
US-003,Order Management,Vendor,"As a vendor, I want to view incoming orders in real-time so I can prepare food promptly","1. New orders appear within 5 seconds of placement
2. Audio/visual notification for new orders
3. Order shows customer name, items, special instructions, total
4. Order timestamp visible
5. Orders grouped by status (New, Preparing, Ready, Delivered)
6. Pull-to-refresh available","- Multiple orders arrive simultaneously (queue with timestamps)
- App in background (push notification)
- Internet disconnects (show cached orders, indicate offline)
- Order cancelled while viewing (update status, show banner)",P0,Sprint 1,US-001,02-orders-queue.png,Draft
US-004,Order Management,Vendor,"As a vendor, I want to accept or reject incoming orders so I can manage my kitchen capacity","1. Accept/Reject buttons visible on new orders
2. Accept triggers 'Preparing' status and starts prep timer
3. Reject requires reason selection (too busy, item unavailable, closing soon)
4. Customer notified of acceptance within 10 seconds
5. Customer notified of rejection with reason
6. Rejected order refunded automatically","- Vendor doesn't respond in 5 minutes (auto-reject, notify vendor)
- Accept pressed but internet fails (retry with confirmation)
- Customer cancels while vendor accepting (show cancellation notice)
- All items in order marked unavailable (suggest rejection)",P0,Sprint 1,US-003,02-orders-queue.png,Draft
US-005,Order Management,Vendor,"As a vendor, I want to mark orders as 'Ready' so drivers know when to pick up","1. 'Mark Ready' button visible on Preparing orders
2. Status changes to 'Ready for Pickup' immediately
3. Driver receives push notification
4. Timer shows time since marked ready
5. Customer ETA updates based on ready status","- Driver not assigned yet (queue for next available)
- Mark ready accidentally (allow undo within 30 seconds)
- Multiple orders ready at once (batch update option)
- Driver cancels after ready (reassign driver, notify vendor)",P1,Sprint 1,US-004,03-order-detail.png,Draft
US-006,Order Management,Vendor,"As a vendor, I want to view detailed order information so I can prepare orders accurately","1. Tap order opens detail view
2. Shows all items with quantities, modifiers, prices
3. Shows special instructions prominently (highlighted)
4. Shows customer contact info (phone, address)
5. Shows order timeline (placed, accepted, preparing, ready, delivered)
6. Contact customer button available","- Special instructions contain allergen info (highlight in red)
- Long item list (scrollable with item count)
- Customer address incomplete (show warning, allow contact)
- Phone number invalid (disable call button, show error)",P1,Sprint 1,US-003,03-order-detail.png,Draft
US-007,Menu Management,Vendor,"As a vendor, I want to add menu items so customers can order from my restaurant","1. Add item form with name, description, price, category, image
2. Category selection from predefined + custom categories
3. Prep time estimate field
4. Modifier groups (size, spice level, add-ons)
5. Image upload with preview
6. Item visible on menu after save","- Duplicate item name in same category (show warning)
- Price entered as $0 (require confirmation)
- Image upload fails (allow save without image, show placeholder)
- Very long description (show character limit, truncate preview)
- Special characters in price field (validate, show error)",P0,Sprint 2,US-001,07-add-menu-item.png,Draft
US-008,Menu Management,Vendor,"As a vendor, I want to mark items as unavailable so customers don't order out-of-stock items","1. Toggle switch for each menu item (Available/Unavailable)
2. Unavailable items show 'Sold Out' badge to customers
3. Unavailable items grayed out but visible
4. Bulk mark unavailable option
5. Notification to vendor when popular item marked unavailable
6. Option to set automatic re-availability time","- Item in active order marked unavailable (allow order completion)
- All items in category unavailable (show category as limited)
- Customer has item in cart when marked unavailable (notify, suggest alternatives)
- Scheduled unavailability conflicts (show overlap warning)",P0,Sprint 2,US-007,04-menu-management.png,Draft
US-009,Menu Management,Vendor,"As a vendor, I want to edit menu item prices so I can adjust for costs or promotions","1. Edit button on each menu item
2. Price field editable
3. Price history logged
4. Changes reflected immediately on customer app
5. Option to schedule price changes
6. Bulk price update option (percentage or fixed amount)","- Price decreased significantly (confirm not accidental)
- Active orders have old price (honor original price)
- Scheduled price change conflicts (show warning)
- Price set to $0 (require confirmation, flag as promotion)",P1,Sprint 2,US-007,07-add-menu-item.png,Draft
US-010,Menu Management,Vendor,"As a vendor, I want to organize my menu into categories so customers can browse easily","1. Default categories provided (Appetizers, Mains, Desserts, Drinks)
2. Custom category creation
3. Drag-and-drop reordering
4. Category visibility toggle
5. Items can be moved between categories
6. Category images optional","- Empty category (hide from customer view)
- Category name already exists (append number or reject)
- Delete category with items (prompt to reassign items)
- Very long category name (truncate with ellipsis)",P1,Sprint 2,US-007,04-menu-management.png,Draft
US-011,Analytics,Vendor,"As a vendor, I want to view my sales analytics so I can understand my business performance","1. Dashboard shows today's orders, revenue, avg order time
2. Trend indicators (up/down vs yesterday/last week)
3. Time range selector (today, week, month, custom)
4. Revenue chart (line graph)
5. Orders chart (bar graph)
6. Top selling items list
7. Export data option (CSV)","- No data for selected period (show empty state with message)
- Data still loading (show skeleton/shimmer)
- Very large dataset (paginate or summarize)
- Timezone differences (show vendor's local timezone)",P1,Sprint 3,US-003,05-analytics.png,Draft
US-012,Analytics,Vendor,"As a vendor, I want to see my top-selling items so I can optimize my menu","1. Top 10 items by order count
2. Top 10 items by revenue
3. Time period filter
4. Compare to previous period
5. Click item to see detailed stats","- Tie in ranking (show both, sort alphabetically)
- New item with few orders (indicate 'New' badge)
- Item removed from menu (show as discontinued in historical data)
- Zero orders in period (show message, no chart)",P2,Sprint 3,US-011,05-analytics.png,Draft
